10000
50	0.299759	0.083613
100	0.168983	0.085027
200	0.108743	0.083561
300	0.087715	0.08394
400	0.079259	0.083557
500	0.073573	0.084859
600	0.068789	0.084679
700	0.066155	0.082211
800	0.065902	0.083919
900	0.065836	0.084748
1000	0.068698	0.086083
1100	0.06305	0.082666
1200	0.066992	0.084188
1300	0.062211	0.083593
1400	0.06497	0.084761
1500	0.06484	0.083924
1600	0.066396	0.08527
1700	0.065276	0.085118
1800	0.071632	0.083543
1900	0.076496	0.085047
2000	0.082239	0.084314
2100	0.076351	0.084096
2200	0.078913	0.083845
2300	0.076698	0.08296
2400	0.086617	0.085253
2500	0.082259	0.084433
2600	0.08014	0.082986
2700	0.086921	0.083533
2800	0.081076	0.083594
2900	0.096254	0.083119
3000	0.097171	0.083669
4000	0.124404	0.083615
5000	0.152613	0.084209
6000	0.172036	0.084837
7000	0.227026	0.085198
8000	0.306532	0.082237
