2000	0.003762	0.014776	0.000552	0.00321	0.001966	0.01281
4000	0.004534	0.017307	0.001012	0.003522	0.0023	0.015007
6000	0.005432	0.018436	0.001597	0.003835	0.002825	0.015611
8000	0.005955	0.019259	0.002075	0.00388	0.002277	0.016982
10000	0.006727	0.019367	0.002694	0.004033	0.004081	0.015286
12000	0.007825	0.02067	0.003651	0.004174	0.00226	0.01841
14000	0.00791	0.020796	0.003737	0.004173	0.002808	0.017988
16000	0.008591	0.021833	0.004328	0.004263	0.002268	0.019565
18000	0.009463	0.019443	0.005083	0.00438	0.006365	0.013078
20000	0.010108	0.017021	0.005595	0.004513	0.002222	0.014799
22000	0.010572	0.022133	0.006093	0.004479	0.002628	0.019505
24000	0.010976	0.02317	0.006602	0.004374	0.002215	0.020955
26000	0.011641	0.020919	0.007183	0.004458	0.003874	0.017045
28000	0.012456	0.022739	0.007944	0.004512	0.002251	0.020488
30000	0.013015	0.023079	0.0084	0.004615	0.002741	0.020338
32000	0.013498	0.023483	0.008929	0.004569	0.00222	0.021263
34000	0.014362	0.023278	0.009704	0.004658	0.011132	0.012146
36000	0.015212	0.016992	0.01046	0.004752	0.002208	0.014784
38000	0.015784	0.018649	0.010861	0.004923	0.002815	0.015834
40000	0.016596	0.019395	0.011696	0.0049	0.002282	0.017113
42000	0.017467	0.017301	0.012397	0.00507	0.004005	0.013296
44000	0.017808	0.024943	0.012888	0.00492	0.002046	0.022897
46000	0.018482	0.025488	0.013442	0.00504	0.002823	0.022665
48000	0.018989	0.025895	0.01388	0.005109	0.002294	0.023601
50000	0.019741	0.023861	0.014726	0.005015	0.006389	0.017472
52000	0.020256	0.021733	0.01526	0.004996	0.002267	0.019466
54000	0.021154	0.025358	0.016082	0.005072	0.00279	0.022568
56000	0.021986	0.026076	0.016817	0.005169	0.002279	0.023797
58000	0.022473	0.02396	0.017261	0.005212	0.003975	0.019985
60000	0.023468	0.025784	0.018154	0.005314	0.002252	0.023532
62000	0.023786	0.025854	0.018526	0.00526	0.002829	0.023025
64000	0.024533	0.026861	0.019244	0.005289	0.002284	0.024577
66000	0.025391	0.03478	0.02012	0.005271	0.022431	0.012349
68000	0.025987	0.017226	0.020516	0.005471	0.002276	0.01495
70000	0.026413	0.018362	0.021058	0.005355	0.002819	0.015543
72000	0.027603	0.01949	0.022083	0.00552	0.002292	0.017198
74000	0.027942	0.017404	0.022421	0.005521	0.004108	0.013296
76000	0.028645	0.020779	0.023134	0.005511	0.002221	0.018558
78000	0.029509	0.021026	0.023961	0.005548	0.002828	0.018198
80000	0.030091	0.022172	0.024436	0.005655	0.002277	0.019895
82000	0.030678	0.019315	0.025034	0.005644	0.006411	0.012904
84000	0.031622	0.017495	0.025949	0.005673	0.002274	0.015221
86000	0.031889	0.030115	0.026278	0.005611	0.001789	0.028326
88000	0.032924	0.029547	0.027142	0.005782	0.002857	0.02669
90000	0.033349	0.031453	0.027768	0.005581	0.002288	0.029165
92000	0.034147	0.030307	0.028417	0.00573	0.004041	0.026266
94000	0.034671	0.031556	0.028911	0.00576	0.002379	0.029177
96000	0.035666	0.030224	0.02986	0.005806	0.002852	0.027372
98000	0.036229	0.035984	0.030337	0.005892	0.002244	0.03374
100000	0.036635	0.031665	0.030897	0.005738	0.011816	0.019849
102000	0.037753	0.026734	0.032079	0.005674	0.002287	0.024447
104000	0.038513	0.025501	0.032717	0.005796	0.002881	0.02262
106000	0.039344	0.027476	0.03362	0.005724	0.002305	0.025171
108000	0.03922	0.029754	0.033561	0.005659	0.003952	0.025802
110000	0.040217	0.031611	0.034301	0.005916	0.002298	0.029313
112000	0.040971	0.030221	0.035182	0.005789	0.002849	0.027372
114000	0.0416	0.033413	0.035839	0.005761	0.002274	0.031139
116000	0.042007	0.029034	0.036007	0.006	0.006542	0.022492
118000	0.043173	0.031231	0.037236	0.005937	0.002259	0.028972
120000	0.044126	0.029803	0.038078	0.006048	0.002867	0.026936
122000	0.044442	0.032019	0.038449	0.005993	0.002295	0.029724
124000	0.0448	0.030112	0.038789	0.006011	0.003994	0.026118
126000	0.045413	0.031717	0.039396	0.006017	0.00229	0.029427
128000	0.046394	0.030097	0.040294	0.0061	0.002868	0.027229
130000	0.046551	0.03969	0.040698	0.005853	0.002051	0.037639
132000	0.04842	0.060735	0.042273	0.006147	0.046167	0.014568
134000	0.048865	0.021187	0.042706	0.006159	0.002273	0.018914
136000	0.049849	0.019946	0.043626	0.006223	0.002855	0.017091
138000	0.049757	0.022121	0.043541	0.006216	0.002298	0.019823
140000	0.051076	0.022237	0.044846	0.00623	0.003951	0.018286
142000	0.051724	0.02379	0.045468	0.006256	0.002283	0.021507
144000	0.052639	0.02221	0.046416	0.006223	0.002857	0.019353
146000	0.05333	0.0261	0.046889	0.006441	0.002272	0.023828
148000	0.053494	0.021575	0.047246	0.006248	0.006506	0.015069
150000	0.054599	0.025316	0.048225	0.006374	0.002178	0.023138
152000	0.055024	0.024501	0.048824	0.0062	0.002849	0.021652
154000	0.055485	0.026352	0.049302	0.006183	0.00228	0.024072
156000	0.056873	0.025041	0.050513	0.00636	0.003966	0.021075
158000	0.05697	0.025885	0.050776	0.006194	0.002274	0.023611
160000	0.057514	0.024686	0.051048	0.006466	0.002846	0.02184
162000	0.058883	0.029825	0.052592	0.006291	0.002223	0.027602
164000	0.058334	0.026301	0.051988	0.006346	0.011634	0.014667
166000	0.05949	0.021771	0.053063	0.006427	0.002267	0.019504
168000	0.060132	0.020389	0.053812	0.00632	0.002835	0.017554
170000	0.061387	0.02267	0.054926	0.006461	0.002274	0.020396
172000	0.062597	0.034675	0.056023	0.006574	0.001794	0.032881
174000	0.063872	0.032777	0.057352	0.00652	0.004009	0.028768
176000	0.063757	0.032517	0.057318	0.006439	0.002307	0.03021
178000	0.063365	0.034739	0.056805	0.00656	0.002852	0.031887
180000	0.064211	0.03567	0.057825	0.006386	0.002306	0.033364
182000	0.065675	0.034966	0.059335	0.00634	0.006497	0.028469
184000	0.06584	0.032412	0.059444	0.006396	0.002306	0.030106
186000	0.066413	0.032728	0.05986	0.006553	0.002848	0.02988
188000	0.066874	0.035542	0.060461	0.006413	0.002289	0.033253
190000	0.068531	0.033552	0.06206	0.006471	0.004007	0.029545
192000	0.069511	0.033307	0.062894	0.006617	0.002295	0.031012
194000	0.069449	0.03803	0.063017	0.006432	0.002745	0.035285
196000	0.069707	0.040095	0.063326	0.006381	0.002306	0.037789
198000	0.069473	0.044799	0.0633	0.006173	0.022829	0.02197
200000	0.070912	0.025994	0.064589	0.006323	0.002304	0.02369
