10000
50	0.296653	0.037533	0.085437	0.069308
100	0.170431	0.037842	0.086938	0.07087
200	0.110214	0.037712	0.087135	0.071045
300	0.089251	0.037424	0.086971	0.07075
400	0.081214	0.03773	0.087138	0.07056
500	0.074084	0.037061	0.085819	0.069676
600	0.07075	0.038601	0.086182	0.06992
700	0.068518	0.039373	0.086782	0.070538
800	0.066104	0.038388	0.084699	0.068413
900	0.065977	0.040198	0.08789	0.071428
1000	0.069242	0.042237	0.086233	0.070309
1100	0.06678	0.041451	0.084591	0.068561
1200	0.065754	0.042919	0.086148	0.07002
1300	0.06389	0.042959	0.086541	0.070353
1400	0.072122	0.047743	0.087044	0.070967
1500	0.068119	0.046841	0.08663	0.07054
1600	0.069584	0.047379	0.086248	0.070119
1700	0.072317	0.049914	0.086041	0.069973
1800	0.069221	0.04925	0.085178	0.069158
1900	0.072999	0.051499	0.086386	0.07029
2000	0.07168	0.05046	0.085471	0.069462
2100	0.071259	0.051976	0.084163	0.068088
2200	0.072983	0.053482	0.085672	0.06951
2300	0.085178	0.060761	0.08618	0.070163
2400	0.075617	0.055323	0.086621	0.070588
2500	0.090519	0.064989	0.086404	0.070404
2600	0.079949	0.060782	0.087701	0.07155
2700	0.082056	0.061862	0.086876	0.070818
2800	0.098138	0.07384	0.088384	0.071792
2900	0.101737	0.074795	0.086413	0.070339
3000	0.089305	0.068376	0.086021	0.069925
4000	0.128044	0.101354	0.087201	0.071027
5000	0.158983	0.128999	0.086093	0.06994
6000	0.170596	0.146824	0.085951	0.069642
7000	0.210111	0.182578	0.087181	0.070953
8000	0.2887	0.25181	0.086289	0.070143
9000	0.331162	0.290046	0.086283	0.07009
